path,cluster,keyword,avg_monthly,competition,comp_index,bid_low,bid_high,yoy
1-damage-care,pilling,"how do i get rid of pilling",50,Medium,35,,,0%
1-damage-care,pilling,"how do i get rid of pilling on my sweater",50,High,100,,,new
1-damage-care,pilling,"how do i remove bobbles from clothing",50,Low,1,,,0%
1-damage-care,pilling,"how do i remove fuzz balls from sweaters",500,High,73,0.08,0.52,0%
1-damage-care,pilling,"how do i remove pills from clothing",50,Unknown,,,,0%
5-marketplace-howto,selling,"how do i sell wholesale on poshmark",50,Unknown,,,,-100%
5-marketplace-howto,ebay-sold,"how do you check sold items on ebay",50,Low,0,,,0%
1-damage-care,pilling,"how do you de pill a sweater",50,Unknown,,,,0%
1-damage-care,pilling,"how do you defuzz a sweater",500,High,91,0.05,0.29,0%
1-damage-care,pilling,"how do you depill a sweater",500,Medium,58,0.08,0.43,0%
1-damage-care,pilling,"how do you fix pilling",50,High,100,,,0%
1-damage-care,pilling,"how do you get pilling off a sweater",50,High,71,,,0%
1-damage-care,pilling,"how do you get pills off a sweater",500,High,99,0.09,0.41,0%
1-damage-care,pilling,"how do you get rid of lint balls on clothing",500,High,75,0.07,1.30,0%
1-damage-care,pilling,"how do you get rid of little balls on clothes",50,Unknown,,,,0%
1-damage-care,pilling,"how do you get rid of pilling on a sweater",50,Medium,36,,,0%
1-damage-care,pilling,"how do you get rid of pilling on sweaters",500,High,83,0.08,0.37,900%
1-damage-care,pilling,"how do you get rid of pills on clothing",5000,High,83,0.09,1.44,0%
1-damage-care,pilling,"how do you remove bobbles from clothes",5000,High,93,0.10,1.35,0%
1-damage-care,pilling,"how do you remove fuzz balls from sweaters",50,High,73,0.03,0.41,-90%
1-damage-care,pilling,"how do you remove fuzz from sweaters",50,Unknown,,,,0%
1-damage-care,pilling,"how do you remove lint balls from a sweater",500,High,73,0.08,0.52,0%
1-damage-care,pilling,"how do you remove lint balls from your clothes",50,Unknown,,,,-100%
1-damage-care,pilling,"how do you remove pilling from a sweater",50,Unknown,,,,-100%
1-damage-care,pilling,"how do you remove pilling from fabric",50,Unknown,,,,-100%
1-damage-care,pilling,"how do you remove pills from fabric",50,Unknown,,,,-100%
1-damage-care,pilling,"how do you remove pills from sweaters",500,High,84,0.09,0.41,0%
4-value,pricing,"how much does thredup cost",50,Low,0,,,0%
1-damage-care,pilling,"how to avoid fuzz balls on clothes",50,Medium,43,,,0%
1-damage-care,pilling,"how to avoid lint balls",50,Low,0,,,0%
1-damage-care,pilling,"how to avoid lint balls on clothes",50,Low,26,1.15,1.53,0%
1-damage-care,pilling,"how to avoid pilling on sweaters",50,Low,27,,,0%
5-marketplace-howto,ebay-sold,"how to check for sold items on ebay",50,Low,0,,,0%
5-marketplace-howto,ebay-sold,"how to check recently sold items on ebay",500,Low,0,,,0%
5-marketplace-howto,ebay-sold,"how to check sold ebay listings",50,Low,0,,,0%
5-marketplace-howto,ebay-sold,"how to check sold listings on ebay",500,Low,0,,,900%
1-damage-care,shoe-yellowing,"how to clean a yellow shoe sole",50,Medium,50,,,0%
1-damage-care,pilling,"how to clean fuzz off sweaters",50,Unknown,,,,0%
1-damage-care,pilling,"how to clean lint balls from sweaters",50,Medium,57,,,0%
1-damage-care,care,"how to clean sweater balls",50,Unknown,,,,0%
1-damage-care,pilling,"how to clean sweater pilling",50,Low,0,,,0%
1-damage-care,shoe-yellowing,"how to clean yellow af1 soles",50,Low,11,,,0%
1-damage-care,shoe-yellowing,"how to clean yellow shoe soles",50,High,84,,,-90%
1-damage-care,shoe-yellowing,"how to clean yellow sneaker soles",50,High,83,,,0%
1-damage-care,shoe-yellowing,"how to clean yellow soles",50,Low,31,,,0%
1-damage-care,shoe-yellowing,"how to clean yellow soles at home",50,Low,0,,,0%
1-damage-care,shoe-yellowing,"how to clean yellow soles of shoes",50,High,84,,,-90%
1-damage-care,shoe-yellowing,"how to clean yellow soles on jordans",50,Medium,33,,,0%
1-damage-care,shoe-yellowing,"how to clean yellow soles on sneakers",50,High,92,0.19,0.56,0%
1-damage-care,shoe-yellowing,"how to clean yellow soles with baking soda",50,Low,0,,,0%
1-damage-care,shoe-yellowing,"how to clean yellowing white soles",50,Low,0,,,0%
1-damage-care,pilling,"how to de bobble a coat",0,Unknown,,,,0%
1-damage-care,pilling,"how to de bobble a sweater",0,Unknown,,,,0%
1-damage-care,pilling,"how to de bobble a wool coat",0,Unknown,,,,--
1-damage-care,pilling,"how to de bobble fabric",0,Unknown,,,,--
1-damage-care,pilling,"how to de fuzz a sweater",50,High,100,,,0%
1-damage-care,pilling,"how to de lint a sweater",50,Low,26,,,0%
1-damage-care,pilling,"how to de pill a cashmere sweater",50,Medium,57,,,0%
1-damage-care,pilling,"how to de pill a coat",50,Unknown,,,,-100%
1-damage-care,pilling,"how to de pill a hoodie",50,Unknown,,,,-100%
1-damage-care,pilling,"how to de pill a shirt",50,Low,21,,,0%
1-damage-care,pilling,"how to de pill a sweater with a razor",50,Unknown,,,,0%
1-damage-care,pilling,"how to de pill a sweatshirt",50,High,100,,,0%
1-damage-care,pilling,"how to de pill a wool coat",50,Unknown,,,,0%
1-damage-care,pilling,"how to de pill a wool sweater",50,Unknown,,,,-100%
1-damage-care,pilling,"how to de pill cashmere sweater",50,High,100,,,0%
1-damage-care,pilling,"how to de pill fabric",50,High,100,,,0%
1-damage-care,pilling,"how to de pill fleece",50,Unknown,,,,-100%
1-damage-care,pilling,"how to de pill leggings",50,Unknown,,,,0%
1-damage-care,pilling,"how to de pill sweater",50,Low,26,,,0%
1-damage-care,pilling,"how to de pill sweatpants",50,Unknown,,,,-100%
1-damage-care,pilling,"how to de pill wool sweaters",50,Unknown,,,,0%
1-damage-care,pilling,"how to deal with pilling sweater",50,High,96,,,0%
1-damage-care,pilling,"how to deal with sweater pilling",50,Low,0,,,0%
1-damage-care,pilling,"how to defuzz a cashmere sweater",50,High,100,,,new
1-damage-care,pilling,"how to defuzz a knit sweater",50,Unknown,,,,0%
1-damage-care,pilling,"how to defuzz a new sweater",50,Unknown,,,,0%
1-damage-care,pilling,"how to defuzz a shirt",50,High,100,,,new
1-damage-care,pilling,"how to defuzz a sweatshirt",50,High,68,0.22,0.75,new
1-damage-care,pilling,"how to defuzz a wool sweater",50,Unknown,,,,0%
1-damage-care,pilling,"how to defuzz cashmere sweater",50,High,100,,,0%
1-damage-care,pilling,"how to defuzz fleece",50,Low,0,,,new
1-damage-care,pilling,"how to depill a cashmere sweater",50,High,87,0.06,0.47,0%
1-damage-care,pilling,"how to depill a wool sweater",50,Low,29,,,0%
1-damage-care,pilling,"how to depill cashmere sweater",50,Medium,64,,,0%
5-marketplace-howto,ebay-sold,"how to find recently sold on ebay",500,Low,0,,,0%
1-damage-care,pilling,"how to fix a pilled sweater",500,Medium,66,0.05,0.26,0%
1-damage-care,pilling,"how to fix a pilling sweater",500,Medium,66,0.05,0.26,0%
1-damage-care,pilling,"how to fix a sweater that is pilling",50,Medium,33,,,0%
1-damage-care,pilling,"how to fix a sweater that pills",50,Low,0,,,new
